  0..4   Type             "type"
  5..8   Ident            "Dot"
  8..9   LAngle           "<"
  9..10  Ident            "T"
 11..18  Extends          "extends"
 19..25  String           "string"
 25..26  Comma            ","
 27..28  Ident            "U"
 29..36  Extends          "extends"
 37..43  String           "string"
 43..44  RAngle           ">"
 45..46  Eq               "="
 47..50  TemplateHead     "`${"
 50..51  Ident            "T"
 51..55  TemplateMiddle   "}.${"
 55..56  Ident            "U"
 56..58  TemplateTail     "}`"
 58..59  Semicolon        ";"
